name,x,y,z
abalone,8.318138,1.9966713,-5.3060656
abalone_mushroom,7.9332185,1.6161717,-5.4593015
absinthe,9.333032,3.3923979,-0.7774299
acacia,7.753703,1.9771699,-3.16905
acai,7.168601,2.9603617,-1.7815053
acerola,8.547877,2.3144188,-1.8223876
achiote_paste,7.096743,5.675613,-6.150391
acorn,8.17064,4.7779717,-4.9676237
acorn_squash,8.012991,4.802864,-4.82704
activated_charcoal_powder,7.7025113,2.1339166,-2.1404402
adjika,8.056824,4.7693725,-3.2350507
adobo_sauce,7.570143,5.7607765,-6.128534
adobo_seasoning,7.355573,5.7047224,-5.92492
advocaat,8.370293,3.0984662,-0.68122894
agar,8.120329,2.0167549,-2.1513722
agati_flower,7.084276,1.9999418,-5.602143
agave_syrup,7.165283,3.0327928,-2.004718
aguardiente,8.370819,3.6545782,-1.7318642
aji_amarillo,6.578682,5.502859,-5.7475896
aji_panca,6.539812,5.5299726,-5.774568
ajvar,7.8995514,5.2767777,-4.9017286
ajwain,5.600122,3.9119148,-4.732388
alcaparrado,7.1767335,5.301195,-6.040217
aleppo_pepper,7.8890505,5.2391615,-5.359496
alfalfa_sprout,8.1154375,5.063651,-5.155202
alfredo_sauce,8.360109,5.7980704,-5.5154257
alligator,8.20367,1.6393627,-4.2119203
allspice,8.490883,3.5605395,-2.0115387
allulose,7.7703776,1.8230903,-2.9111598
almond,8.2313795,3.0969698,-1.6495923
almond_butter,7.1465874,3.0048234,-2.0169013
almond_milk,7.313164,2.936929,-1.8710055
almond_paste,7.9246073,3.0226946,-1.0505208
almond_tofu,7.6425624,3.6311505,-1.6167198
aloe_vera,8.1860895,1.8436831,-2.3469918
alum,7.1111565,2.6938508,-4.746816
amaranth,8.102353,2.3574011,-4.951846
amaretti_cookie,8.242431,3.2674072,-0.8629655
amaretto,8.397031,3.1511197,-0.73494947
amaro,9.372724,3.3611345,-0.8395371
amazake,7.1498146,3.1839066,-1.9115261
amberjack,7.6935472,4.384572,-5.8486843
amchur,5.5530677,3.9278321,-4.7452617
american_cheese,8.254312,5.955693,-5.9335985
anaheim_chile,7.54352,5.6232038,-6.1076503
anardana_powder,5.5443907,3.9805858,-4.717538
